max_market_cap,min_market_cap,price_volatility,mcap_range,price_acceleration,max_tx_density,avg_tx_density,peak_volume,volume_volatility,max_accounts,avg_accounts,max_concentration,avg_concentration,is_pump
219674.524884571,4965.494022219996,0.4724933773934001,214709.030862351,1.380765645983496e-05,2.05,0.7575757575757576,28.848749295000022,0.053386526883442274,43,13.454545454545455,7.878857080115675,4.38178028213234,1
738028.3786636865,203.26864079999996,1.264121153851988,737825.1100228864,4.885654030815119e-05,1.9,0.7208333333333333,18.055835486000014,0.04402932785231222,28,12.305555555555555,8.748177652797064,4.237901013211315,1
195153.38082774208,5005.035245845786,0.5694328474268961,190148.34558189628,1.5257566133391658e-05,2.55,0.822727272727273,50.50111373999998,0.09261432455924362,38,14.545454545454545,22.161371798695132,4.835738632076942,1
323724.93256629235,27.411873896534402,0.6606620105666571,323697.5206923958,2.022048512935058e-05,4.55,0.4265432098765431,32742.673485651998,18.300461036208034,83,9.037037037037036,18.54719003225587,2.260000856151268,1
135220.74290363863,180.60067914,0.42413669932244646,135040.14222449862,1.4501195990477847e-05,0.9,0.3687500000000001,80.87459786300009,0.12581132370478798,35,10.166666666666666,7.312974212776543,2.081940757048142,1
179063.84799971976,4951.06280091478,0.5570528157161202,174112.78519880498,1.3906146300965778e-05,1.9,0.7625,34.403637569,0.11835882982989632,40,13.95,18.603763060198332,4.807989260967771,1
136743.74883454805,178.81375263,0.39201278113344934,136564.93508191805,1.3194489719685872e-05,0.7,0.35400000000000004,47.73042964299999,0.13291021947850112,30,9.88,4.906533814626582,1.9640911621567982,1
45046.96392244032,354.21804984,1.0267519201447344,44692.745872600324,5.841323812311441e-06,0.65,0.125,50.978069508,0.6085933968838279,14,3.4615384615384617,3.090472521826277,0.5257287898450674,1
227459.99688905405,177.00000708,0.6380840226850679,227282.99688197405,1.9123392749212597e-05,0.95,0.20411764705882354,25.698490480000007,0.08153386078383776,45,5.682352941176471,6.348480910937924,1.2048649987703062,1
45097.54735146288,254.86011936000003,0.6968485845878445,44842.687232102886,1.0578406163672264e-05,0.2,0.13125,52.057304275,1.9415321902015286,28,19.125,1.4356965173029845,0.6770504410239299,1
189908.9384136423,4955.97698907446,0.5616077916092387,184952.96142456782,1.5119906262796824e-05,1.95,0.3592592592592592,5.414284362000002,0.02751782523960932,47,7.444444444444445,9.921567416492215,2.99544468376361,1
189120.7096615826,240.281571,0.5656077068658678,188880.4280905826,1.8889755554799747e-05,1.55,0.6172413793103447,36.421621,0.07237657579029924,36,11.724137931034482,17.42805279488943,4.008599230925823,1
4968724.661624386,259.6183921937056,5.114004131215935,4968465.043232192,0.000509786714434407,0.7,0.3589285714285716,48.57592377099998,0.11385809046346532,29,9.535714285714286,5.640856564600973,2.0717962928663094,1
913928.6834283835,4963.575994549484,1.4988441059576696,908965.1074338341,6.840318616807612e-05,2.85,0.46718750000000003,5.981300093,0.09480689912725057,43,8.25,10.999438818457406,3.0848034602573535,1
86868.19241151924,380.67358370100004,0.4625818750033817,86487.51882781823,1.5247355250068959e-05,0.5,0.1394736842105263,51.80525855899999,0.21762702225089328,65,23.0,3.3073702884394534,0.7808213795014707,1
31047.256668966736,177.92701130400002,0.3539071446941364,30869.329657662736,2.8111882787704276e-06,3.5,0.283206106870229,36.614932242000016,0.09707179653563505,59,5.404580152671755,8.780969734277017,1.5326234649023749,0
27501.378302860325,198.45960644202376,0.48027461765841395,27302.918696418303,3.6558252493968284e-06,1.05,0.2125,16.823062754,0.15251337461119255,22,5.041666666666667,4.165977904505309,0.9279308133062433,0
58549.426656513446,180.41397385067108,0.5651579579391138,58369.012682662775,4.490281924607918e-06,2.75,0.5414634146341463,39.224796610000006,0.45568463367402223,52,11.0,7.40482011575876,1.9413331693364821,0
66102.06209091734,13.683679658291457,0.3023257409488209,66088.37841125905,8.145780971719078e-06,0.45,0.16736401673640167,3.1724756750000007,0.012938158947448956,5,2.1338912133891212,6.377042156569663,0.351792721829505,0
18799.983471553387,176.983185354,0.3809476386339271,18623.000286199385,3.41348694379313e-06,0.85,0.28402777777777777,32758.53491932,35.11756654193542,13,4.819444444444445,8.909980645435816,2.534877056018883,0
28652.467200654897,177.70597511999998,0.30141653209902536,28474.761225534898,4.045808252748278e-06,1.4,0.29666666666666675,22.20492260800001,0.22580110202038348,26,6.688888888888889,5.179042885234741,1.320878598941217,0
88388.28078915646,180.62997263999998,0.464714121331436,88207.65081651646,6.6181641384766e-06,4.0,0.4612903225806451,59.53768679500001,0.15331950464030977,70,9.483870967741936,9.364282990083506,1.490337177762766,0
27026.006644849957,354.218049309,0.40297186717749955,26671.78859554096,2.958541788348147e-06,1.2,0.38125,20.415439332,0.1808853833305082,23,8.125,5.0142653642240695,1.7001235787525661,0
51064.35331395094,176.98298076923078,0.5090360886261159,50887.37033318171,5.11576554974569e-06,3.0,0.296,69.28496376100004,0.1846263865940433,52,6.87,8.094486398726703,1.1899658647977747,0
82547.28668397643,176.983185,0.38094125783986565,82370.30349897643,4.954278214461719e-06,2.05,0.39081632653061216,30.958467130000024,0.1588548114114701,39,7.877551020408164,6.82364493342926,1.9222328840040506,0
74596.49946882302,181.4856756,0.6637129674830083,74415.01379322303,1.3675016076511613e-05,0.55,0.07554945054945054,24804.547443728,126.0726514517738,10,2.967032967032967,5.9194594347794975,0.7901589390244624,0
34965.285835955794,177.095230779,0.40390777083140783,34788.190605176795,4.388598983319897e-06,0.45,0.10595238095238094,2.260405353,0.05162395619239732,10,3.0952380952380953,2.4000000000000004,0.42385817154257177,0
454954.24488477677,179.6568939,2.1498148563408828,454774.58799087675,4.509804635337614e-05,1.8,0.34285714285714297,25.32505306500002,0.13196164967013171,33,7.392857142857143,5.987130366673856,1.4681732038088495,0
117255.58265820211,180.65883868499998,0.8235383445077472,117074.9238195171,1.2351699032943638e-05,1.0,0.3833333333333333,15.90721224,0.26791290195252565,31,9.75,5.989063914877082,1.8741424558656252,0
445754.7412416389,177.51266280000002,2.528331849117086,445577.22857883887,8.013284157273751e-05,0.35,0.1676470588235294,15.140617839999997,0.626290195590016,17,5.470588235294118,3.2878090852899104,1.2297365386072836,0
449082.3006003295,1593.21804984,2.2535889889870506,447489.08255048946,4.7735471811018344e-05,1.15,0.36521739130434805,20.971075341999992,0.257136856741249,22,8.043478260869565,4.571742167520057,1.6502904031357282,0
461456.38666758494,248.01804984,1.092245767182533,461208.36861774494,3.194866715871612e-05,3.3,0.48300000000000004,31879.760147487003,53.7241187023156,63,8.94,7.993478067148074,1.5204160469615386,0
16640.217355878314,230.31804984,0.34914640092050553,16409.899306038315,1.1697443437635613e-06,0.85,0.23684210526315788,21.395637461000003,0.2622446442655317,14,4.684210526315789,6.249938271300104,1.5505430325081704,0
199884.43585064966,88.71804984,0.5644362947236437,199795.71780080965,1.1460515056949089e-05,1.6,0.2225274725274725,34.811666342000024,0.14503084575770891,31,5.450549450549451,5.4709525258461555,0.9578597847575333,0
88107.00552246852,177.218049663,0.576361684109647,87929.78747280552,8.812917144178335e-06,2.35,0.26555555555555566,16277.061159702,224.74753762818662,51,6.2,12.752486546173737,2.228380182144694,0
1492319.836363168,176.983185,2.6954472546934074,1492142.853178168,0.00010748170054609938,1.05,0.13472222222222222,1.29648681,0.022723547116056803,18,2.7777777777777777,17.906423428479513,1.1832387644975932,0
51940.72944099433,318.818049309,0.5189061619930944,51621.91139168533,7.720396978613585e-06,1.05,0.5249999999999999,26.583039805000016,0.2563481377945402,22,10.333333333333334,5.906681715556451,2.557826974147245,0
38820.657766883116,313.50804984,0.5239829998357471,38507.14971704312,3.895208157029191e-06,1.25,0.25555555555555554,36.89497656800002,0.5011689892538708,22,5.611111111111111,4.974314189201619,1.4034550333476876,0
192139.32059363122,18.499398141637364,0.7956796686287455,192120.82119548958,1.4888969545951533e-05,0.7,0.22435064935064933,12.033103437999998,0.12418002335934829,14,4.142857142857143,8.909980645435816,1.6561649637533264,0
30843.281835466947,88.71804984,0.39485863102334734,30754.563785626946,1.9466473406377247e-06,2.05,0.21159420289855077,30.483074814000023,0.14170815852724525,35,5.028985507246377,6.626107916601494,0.9245826796782287,0
66735.52951134995,184.29355049999998,0.577381161387669,66551.23596084994,6.93483369410755e-06,4.6,0.6404761904761905,33.363761362000005,0.4760683420059336,71,12.380952380952381,10.696290609877341,2.5549096325204075,0
84149.74975672325,176.99213333333336,0.5582144697058612,83972.75762338992,6.656227020450714e-06,1.25,0.23301886792452833,31.813696823000008,0.21420876461317223,26,5.572327044025157,5.0142653642240695,1.1284887665516155,0
179345250000.0,5.349936180904523,22.202642905737537,179345249994.65005,11.434634311521249,2.35,0.27008928571428564,31902.877973716997,28.921958589186396,33,5.821428571428571,7.810190889239165,1.5396335416112639,0
